,Report Number,Occur Date,Occur Time,Neighborhood,times
0,190010138,2019-01-01,20,Downtown,2019-01-01 00:20:00
1,190010299,2019-01-01,120,Downtown,2019-01-01 01:20:00
2,190011858,2019-01-01,1740,Greenbriar,2019-01-01 17:40:00
3,190010716,2018-12-31,2350,Sweet Auburn,2018-12-31 23:50:00
4,190010831,2018-01-01,414,Pomona Park,2018-01-01 04:14:00
5,190010905,2019-01-01,400,Downtown,2019-01-01 04:00:00
6,190011054,2019-01-01,125,Briar Glen,2019-01-01 01:25:00
7,190011151,2019-01-01,920,Wildwood (NPU-C),2019-01-01 09:20:00
8,190011172,2019-01-01,137,Lindbergh/Morosgo,2019-01-01 01:37:00
9,190011191,2018-12-31,1100,Downtown,2018-12-31 11:00:00
10,190011288,2019-01-01,130,Grant Park,2019-01-01 01:30:00
11,190011304,2018-12-29,330,Laurens Valley,2018-12-29 03:30:00
12,190011314,2019-01-01,1004,Sylvan Hills,2019-01-01 10:04:00
13,190011357,2019-01-01,100,Adair Park,2019-01-01 01:00:00
14,190011581,2019-01-01,1100,Mechanicsville,2019-01-01 11:00:00
15,190011593,2019-01-01,1430,Poncey-Highland,2019-01-01 14:30:00
16,190011777,2018-12-31,1700,North Buckhead,2018-12-31 17:00:00
17,190012068,2019-01-01,1930,Downtown,2019-01-01 19:30:00
18,190012208,2019-01-01,1809,Downtown,2019-01-01 18:09:00
19,190012236,2019-01-01,2200,Blandtown,2019-01-01 22:00:00
20,190012268,2019-01-01,2140,Marietta Street Artery,2019-01-01 21:40:00
21,190010845,2019-01-01,415,Benteen Park,2019-01-01 04:15:00
22,190011541,2019-01-01,1400,Lenox,2019-01-01 14:00:00
23,190011619,2019-01-01,1528,Lenox,2019-01-01 15:28:00
24,190011772,2019-01-01,1615,Lenox,2019-01-01 16:15:00
25,190012152,2019-01-01,2050,Capitol View,2019-01-01 20:50:00